File	Class	Method	HitCount	LineNum
HelloHBase.java	HelloHBase	HelloHBase()	0	57
HelloHBase.java	HelloHBase	main(String[]) : void	0	60
HelloHBase.java	HelloHBase	createNamespaceAndTable(Admin) : void	1	102
HelloHBase.java	HelloHBase	putRowToTable(Table) : void	1	128
HelloHBase.java	HelloHBase	getAndPrintRowContents(Table) : void	0	152
HelloHBase.java	HelloHBase	namespaceExists(Admin,String) : boolean	4	186
HelloHBase.java	HelloHBase	deleteRow(Table) : void	1	202
HelloHBase.java	HelloHBase	deleteNamespaceAndTable(Admin) : void	0	216
TestHelloHBase.java	TestHelloHBase	beforeClass() : void	1	52
TestHelloHBase.java	TestHelloHBase	afterClass() : void	1	57
TestHelloHBase.java	TestHelloHBase	testNamespaceExists() : void	1	62
TestHelloHBase.java	TestHelloHBase	testCreateNamespaceAndTable() : void	1	80
TestHelloHBase.java	TestHelloHBase	testPutRowToTable() : void	1	99
TestHelloHBase.java	TestHelloHBase	testDeleteRow() : void	1	114
HelloHBase.java	HelloHBase	HelloHBase()	0	56
HelloHBase.java	HelloHBase	main(String[]) : void	0	59
HelloHBase.java	HelloHBase	createNamespaceAndTable(Admin) : void	1	101
HelloHBase.java	HelloHBase	putRowToTable(Table) : void	1	126
HelloHBase.java	HelloHBase	getAndPrintRowContents(Table) : void	0	150
HelloHBase.java	HelloHBase	namespaceExists(Admin,String) : boolean	4	184
HelloHBase.java	HelloHBase	deleteRow(Table) : void	1	200
HelloHBase.java	HelloHBase	deleteNamespaceAndTable(Admin) : void	0	214
TestHelloHBase.java	TestHelloHBase	beforeClass() : void	1	52
TestHelloHBase.java	TestHelloHBase	afterClass() : void	1	57
TestHelloHBase.java	TestHelloHBase	testNamespaceExists() : void	1	62
TestHelloHBase.java	TestHelloHBase	testCreateNamespaceAndTable() : void	1	80
TestHelloHBase.java	TestHelloHBase	testPutRowToTable() : void	1	99
TestHelloHBase.java	TestHelloHBase	testDeleteRow() : void	1	114
AlwaysPasses.java	AlwaysPasses	matchCompilationUnit(CompilationUnitTree,VisitorState) : Description	0	36
QuotaExceededException.java	QuotaExceededException	QuotaExceededException(String)	32	29
QuotaExceededException.java	QuotaExceededException	QuotaExceededException(String,Throwable)	0	33
QuotaFilter.java	QuotaFilter	QuotaFilter()	201	37
QuotaFilter.java	QuotaFilter	setUserFilter(String) : QuotaFilter	33	45
QuotaFilter.java	QuotaFilter	setTableFilter(String) : QuotaFilter	28	56
QuotaFilter.java	QuotaFilter	setNamespaceFilter(String) : QuotaFilter	21	67
QuotaFilter.java	QuotaFilter	addTypeFilter(QuotaType) : QuotaFilter	146	78
QuotaFilter.java	QuotaFilter	isNull() : boolean	201	85
QuotaFilter.java	QuotaFilter	getTypeFilters() : Set<QuotaType>	0	90
QuotaFilter.java	QuotaFilter	getNamespaceFilter() : String	209	95
QuotaFilter.java	QuotaFilter	getTableFilter() : String	229	100
QuotaFilter.java	QuotaFilter	getUserFilter() : String	237	105
QuotaRetriever.java	QuotaRetriever	QuotaRetriever()	369	63
QuotaRetriever.java	QuotaRetriever	init(Configuration,Scan) : void	229	66
QuotaRetriever.java	QuotaRetriever	init(Connection,Scan) : void	369	73
QuotaRetriever.java	QuotaRetriever	close() : void	199	88
QuotaRetriever.java	QuotaRetriever	next() : QuotaSettings	746	104
QuotaRetriever.java	QuotaRetriever	iterator() : Iterator<QuotaSettings>	365	115
QuotaRetriever.java	QuotaRetriever	open(Configuration) : QuotaRetriever	54	159
QuotaRetriever.java	QuotaRetriever	open(Configuration,QuotaFilter) : QuotaRetriever	229	170
QuotaRetriever.java	QuotaRetriever.Iter	Iter()	365	123
QuotaRetriever.java	QuotaRetriever.Iter	hasNext() : boolean	733	131
QuotaRetriever.java	QuotaRetriever.Iter	next() : QuotaSettings	377	136
QuotaRetriever.java	QuotaRetriever.Iter	remove() : void	0	147
QuotaSettings.java	QuotaSettings	QuotaSettings(String,TableName,String)	1521	38
QuotaSettings.java	QuotaSettings	getUserName() : String	1023	47
QuotaSettings.java	QuotaSettings	getTableName() : TableName	1228	51
QuotaSettings.java	QuotaSettings	getNamespace() : String	1137	55
QuotaSettings.java	QuotaSettings	buildFromProto(SetQuotaRequest) : QuotaSettings	219	67
QuotaSettings.java	QuotaSettings	buildSetQuotaRequestProto(QuotaSettings) : SetQuotaRequest	222	114
QuotaSettings.java	QuotaSettings	ownerToString() : String	0	138
QuotaSettings.java	QuotaSettings	sizeToString(long) : String	0	158
QuotaSettings.java	QuotaSettings	timeToString(TimeUnit) : String	448	167
QuotaSettings.java	QuotaSettings	validateQuotaTarget(QuotaSettings) : void	259	196
QuotaSettingsFactory.java	QuotaSettingsFactory	fromUserQuotas(String,Quotas) : List<QuotaSettings>	63	82
QuotaSettingsFactory.java	QuotaSettingsFactory	fromUserQuotas(String,TableName,Quotas) : List<QuotaSettings>	162	86
QuotaSettingsFactory.java	QuotaSettingsFactory	fromUserQuotas(String,String,Quotas) : List<QuotaSettings>	162	91
QuotaSettingsFactory.java	QuotaSettingsFactory	fromTableQuotas(TableName,Quotas) : List<QuotaSettings>	228	96
QuotaSettingsFactory.java	QuotaSettingsFactory	fromNamespaceQuotas(String,Quotas) : List<QuotaSettings>	74	100
QuotaSettingsFactory.java	QuotaSettingsFactory	fromQuotas(String,TableName,String,Quotas) : List<QuotaSettings>	689	104
QuotaSettingsFactory.java	QuotaSettingsFactory	fromThrottle(String,TableName,String,QuotaProtos.Throttle) : List<QuotaSettings>	461	119
QuotaSettingsFactory.java	QuotaSettingsFactory	fromSpace(TableName,String,SpaceQuota) : QuotaSettings	239	149
QuotaSettingsFactory.java	QuotaSettingsFactory	throttleUser(String,ThrottleType,long,TimeUnit) : QuotaSettings	16	184
QuotaSettingsFactory.java	QuotaSettingsFactory	throttleUser(String,TableName,ThrottleType,long,TimeUnit) : QuotaSettings	27	199
QuotaSettingsFactory.java	QuotaSettingsFactory	throttleUser(String,String,ThrottleType,long,TimeUnit) : QuotaSettings	27	214
QuotaSettingsFactory.java	QuotaSettingsFactory	unthrottleUser(String) : QuotaSettings	13	225
QuotaSettingsFactory.java	QuotaSettingsFactory	unthrottleUser(String,TableName) : QuotaSettings	27	236
QuotaSettingsFactory.java	QuotaSettingsFactory	unthrottleUser(String,String) : QuotaSettings	27	247
QuotaSettingsFactory.java	QuotaSettingsFactory	throttleTable(TableName,ThrottleType,long,TimeUnit) : QuotaSettings	15	260
