Parse H:\Data\PLOVER_TEST_LOG\ZooKeeperCloverReport\db\zookeeper-coverage.db
File	Class	Method	LineNum	HitCount
SaslQuorumServerCallbackHandler.java	SaslQuorumServerCallbackHandler	SaslQuorumServerCallbackHandler(Configuration,String,Set<String>)	66	52
SaslQuorumServerCallbackHandler.java	SaslQuorumServerCallbackHandler	handle(Callback[]) : void	199	79
SaslQuorumServerCallbackHandler.java	SaslQuorumServerCallbackHandler	handleNameCallback(NameCallback) : void	91	93
SaslQuorumServerCallbackHandler.java	SaslQuorumServerCallbackHandler	handlePasswordCallback(PasswordCallback) : void	91	104
SaslQuorumServerCallbackHandler.java	SaslQuorumServerCallbackHandler	handleRealmCallback(RealmCallback) : void	91	112
SaslQuorumServerCallbackHandler.java	SaslQuorumServerCallbackHandler	handleAuthorizeCallback(AuthorizeCallback) : void	108	117
QuorumAuth.java	QuorumAuth	createPacket(Status,byte[]) : QuorumAuthPacket	501	82
QuorumAuth.java	QuorumAuth	nextPacketIsAuth(DataInputStream) : boolean	158	87
QuorumAuth.java	QuorumAuth.Status	Status(int)	15	58
QuorumAuth.java	QuorumAuth.Status	getStatus(int) : Status	248	62
QuorumAuth.java	QuorumAuth.Status	status() : int	500	77
SaslQuorumAuthLearner.java	SaslQuorumAuthLearner	SaslQuorumAuthLearner(boolean,String,String)	65	53
SaslQuorumAuthLearner.java	SaslQuorumAuthLearner	authenticate(Socket,String) : void	150	76
SaslQuorumAuthLearner.java	SaslQuorumAuthLearner	checkAuthStatus(Socket,QuorumAuth.Status) : void	108	151
SaslQuorumAuthLearner.java	SaslQuorumAuthLearner	receive(DataInputStream) : QuorumAuthPacket	251	163
SaslQuorumAuthLearner.java	SaslQuorumAuthLearner	send(DataOutputStream,byte[]) : void	251	170
SaslQuorumAuthLearner.java	SaslQuorumAuthLearner	run() : byte[]	231	195
SaslQuorumAuthLearner.java	SaslQuorumAuthLearner	createSaslToken(byte[],SaslClient,Login) : byte[]	232	183
SaslQuorumAuthServer.java	SaslQuorumAuthServer	SaslQuorumAuthServer(boolean,String,Set<String>)	66	51
SaslQuorumAuthServer.java	SaslQuorumAuthServer	authenticate(Socket,DataInputStream) : void	158	73
SaslQuorumAuthServer.java	SaslQuorumAuthServer	receive(DataInputStream) : byte[]	247	157
SaslQuorumAuthServer.java	SaslQuorumAuthServer	send(DataOutputStream,byte[],QuorumAuth.Status) : void	247	164
NullQuorumAuthLearner.java	NullQuorumAuthLearner	authenticate(Socket,String) : void	11644	29
NullQuorumAuthServer.java	NullQuorumAuthServer	authenticate(Socket,DataInputStream) : void	11648	30
MiniKdcTest.java	MiniKdcTest	testMiniKdcStart() : void	1	50
MiniKdcTest.java	MiniKdcTest	testKeytabGen() : void	1	56
MiniKdcTest.java	MiniKdcTest	testKerberosLogin() : void	1	134
MiniKdcTest.java	MiniKdcTest.KerberosConfiguration	KerberosConfiguration(String,File,boolean)	2	81
MiniKdcTest.java	MiniKdcTest.KerberosConfiguration	createClientConfig(String,File) : Configuration	1	88
MiniKdcTest.java	MiniKdcTest.KerberosConfiguration	createServerConfig(String,File) : Configuration	1	93
MiniKdcTest.java	MiniKdcTest.KerberosConfiguration	getKrb5LoginModuleName() : String	2	98
MiniKdcTest.java	MiniKdcTest.KerberosConfiguration	getAppConfigurationEntry(String) : AppConfigurationEntry[]	2	104
QuorumAuthTestBase.java	QuorumAuthTestBase	setupJaasConfig(String) : void	4	46
QuorumAuthTestBase.java	QuorumAuthTestBase	cleanupJaasConfig() : void	4	62
QuorumAuthTestBase.java	QuorumAuthTestBase	startQuorum(int,Map<String, String>,int,boolean) : String	12	68
