commit_id	added_line	deleted_line	guard_addition
f4e0529634b6231a0072295da48af466cf2f10b7	0	0	0
436d01a36d792078c66b7240b362368d34a4836a	0	0	0
a01c3827b3bbfcfef074b45e37bcb29a18d8bf5a	0	0	0
f0419dfaabe31dd7802c37aeebab101265907e1a	290	0	0
f07c459754c30d1ac2439934888868a64964a6c2	9	2	0
c39b5d1bc3011cf900db4e7911232c1d0fb7f576	6	3	0
3560db30c461215ecedf19fd7f6e38fcbc85cec3	33	33	0
bcc7df95824831a8d2f1524e4048dfc23ab98c19	0	0	0
a0813d3649fdc144e8b46e6ba3aca1b8fc8f0b06	0	0	0
1a1aa9b81d76b744b4055ed8b84f7135451495dd	0	0	0
822284f11b92d88d003d1e32a9c5a7028551a3bc	3	3	0
8fd90ea13e24c2de5e4abbd9e6ea427ede559a6c	38	10	0
3fde4440baec9f6ea55eb0c85bb4d3bcbd17f9a2	6	6	0
c8796adddd27ca94382871d2f838050cf5e4d454	0	0	0
7e649028c343c3e5491d5fc5b3d271cb897f3f21	10	0	0
7e46905c6571ef3e8bec1f17811037baa55aacc9	2	0	0
411ce35044d1fd2d092ec177da56226ee1fdf095	0	0	0
dc72cc69e95b3304d9e8c1dedf6a6002d4997c22	3	0	0
11ddb8beae56c74e962057d6540c7478987c7c06	179	456	0
f9cfbd9d6848818d16970f9fe6de04ca352999b1	7	0	0
42ac182b636bd7a873d2f5a5309c054d558fc04c	18	2	0
86361df3aeb556ee6811e9f0409f8efd6a1a5d48	4	20	0
3f904ff797ccdc4790944d2a66a541e4a995846e	16	4	0
774a8ef7a6e92c8a43cad2fa66bd944e666f75f0	2100	2846	0
d558b3cc3377f15e04d3d519055f34798ff0a117	0	0	0
e8d3cc9fb7a7636c258ac7f52be65d7011e4c71a	24	16	0
4b66b250749ac8394776d7138388104047cea906	2	0	0
2859a12eae788002e9c93b50d5915bf280d223cd	27	8	0
a09c17416921612b946000d2866c6354092ec6b7	0	0	0
5f2303c2c97fd51ab30e4db4dd7bbfc33414ddec	66	32	0
5b47ee6cc21c09da4c5e65b4a1dafb8a06f92d83	2	2	0
45f48c0fd0be65d9899d449beb6ece9165631835	9	3	0
c96e9eddea3b73f7bbb7855cbda614a0fa16db71	44	40	0
5c98a914e65c32ce18a34cbbf48d3c0cb300f751	33	0	0
bf39dcb4d4da2fa1fc5258f6204f0ec0213ffb52	78	76	0
0e1de2e5b5da0647ab890cb4466caac4c694b370	0	0	0
bdca5c74a041e42e2b6d62d8846574356e77bc10	0	0	0
eb7b35a930452269d423d46eca8336f17bdbefd3	0	0	0
f6ad4e5aab73a6325ad480d30dd58f179e8c2241	18	5	0
e4158a8732b3ba394626e90d9a42e19f7e471fce	2	2	0
a571bc8037b354e6170faa8a303db909fc4306c9	13	0	0
def1901bf087fc282bc315e3ffad4b5bb1224fcc	85	50	0
c95136a071341f29b0b27c40082675c975ff5241	4510	2465	0
95f19a137638b450f21381c1d114dce993163297	165	17	0
7a2b6958840b0bd467c3042cf8bc5d9a4978ec6d	62	2	0
aaeb38b325710155129ae51ab743ec8dd0f9e0d4	12	0	0
2b57dd27ad61e552f93817ac69313066af6562d9	47	29	0
5773bca1ffc27613b665e232cf620b60955da26e	2	0	0
b6f7df252f9fcd6643f1d44eb6949f19a8972dde	123	9	0
40fe6c397ecaee0793db70187bd7ce84b871d4fe	40	2	0
665198c4cdd22a4b3f6bc1120e18344718aef104	3	3	0
72df947478ad2021b0d6e255993e1074ab94ab3a	0	0	0
7c32fce80694e19bef6395947e4db1d5cb8171e0	28	5	0
6c329a297a295b22fcda1f5560eb6d07ebbb5522	40	69	0
1998bfbdaff59b9e01f037f502376ad5d2d6e73a	46	108	0
90b442c1b54f786558e04cec60715756e7accd1d	5	18	0
a2c08792a6ee44adc09f8392ad24f5f3a791b696	33	2	0
f987af8ba03173a8ab90ad117b719c7c889277cb	18	5	0
6f9a76744ea3acb015a72e8d1e94a335ac80f42f	4	4	0
3fec9291b3d034c19dc04a19f1eeff9502106836	0	0	0
25b09431d4e610b1084b02cb29102fa112192415	17	12	0
