99 pid:1 1:65922 2:960151 3:22 4:7 5:162 6:81 # a63d8cff-167b
144 pid:1 1:164782 2:2400181 3:15 4:4 5:37911.125 6:35388 # aa3dc7a2-16b6
102 pid:1 1:65930 2:960168 3:14 4:8 5:5645 6:5806 # 2cf21f01-4282
113 pid:1 1:164782 2:2400173 3:7 4:2 5:4620.875 6:4995 # 678a4498-fa8a
91 pid:1 1:65914 2:960083 3:6 4:2 5:125 6:125 # dce38fd3-f82d
64 pid:1 1:197738 2:2880207 3:8 4:3 5:6 6:183580 # 3943d22f-5e77
6 pid:1 1:131829 2:1920153 3:6 4:2 5:1 6:2 # a8a07652-2a6d
146 pid:1 1:296983 2:4322785 3:62 4:38 5:35004.625 6:35289 # 56d10794-65f0
100 pid:1 1:65920 2:960119 3:10 4:4 5:2801.875 6:10035 # 9ab3da73-7aec
72 pid:1 1:131835 2:1920194 3:16 4:6 5:101.75 6:102 # 405f2289-4349
130 pid:1 1:164785 2:2400194 3:8 4:3 5:25892.125 6:26200 # 073aa94d-b538
33 pid:1 1:65926 2:960162 3:14 4:6 5:24 6:9946 # 0580afc3-d293
69 pid:1 1:131828 2:1920148 3:7 4:4 5:1414 6:1413 # bff4d96d-7ef2
4 pid:1 1:65918 2:960101 3:6 4:3 5:1 6:26 # 9391e002-7ba1
74 pid:1 1:131829 2:1920161 3:8 4:4 5:73.75 6:9 # dc80e54f-1843
143 pid:1 1:164788 2:2400224 3:20 4:10 5:34791.375 6:35293 # b7468681-403a
45 pid:1 1:65916 2:960096 3:6 4:2 5:4 6:1669 # 7225abb1-7a44
110 pid:1 1:131826 2:1920143 3:9 4:1 5:265.875 6:0 # 979bd3c1-f640
70 pid:1 1:131829 2:1920161 3:7 4:3 5:100.5 6:5572 # f1b1e42f-92ca
52 pid:1 1:65919 2:960121 3:13 4:4 5:81 6:81 # 8f10368a-e760
140 pid:1 1:98966 2:1441061 3:22 4:13 5:9909 6:10017 # d7ded0cf-f2d9
9 pid:1 1:65920 2:960119 3:10 4:4 5:2 6:10035 # 508904a9-9732
80 pid:1 1:65951 2:960521 3:12 4:3 5:577.25 6:170 # 82dcf9c6-849d
128 pid:1 1:131828 2:1920144 3:6 4:3 5:46974.875 6:47118 # 523ce7b9-7be2
3 pid:1 1:131832 2:1920183 3:11 4:4 5:2 6:26 # 7d9d4b37-28b4
19 pid:1 1:131829 2:1920161 3:9 4:3 5:2 6:2 # 8dcd2b49-1ed1
103 pid:1 1:131910 2:1920995 3:8 4:5 5:246 6:33 # 8fc09dcc-406c
31 pid:1 1:65913 2:960074 3:6 4:1 5:36 6:20 # 1dae5c8c-4b5e
20 pid:1 1:131832 2:1920183 3:10 4:4 5:5 6:33 # f638fbd6-04ac
96 pid:1 1:362531 2:5280493 3:10 4:5 5:2096.125 6:2096 # 9a2d7937-9899
46 pid:1 1:164782 2:2400172 3:6 4:3 5:11 6:0 # 1d630b1a-7f5f
135 pid:1 1:131829 2:1920162 3:6 4:2 5:446159.25 6:673066 # db06456c-0ed9
