,Time(ns)Count,Time(ns)Sum,Time(ns)Max,Space(bytes)Count,Space(bytes)Sum,Space(bytes)Max,PotentialMethodCalls,PotentialInstructions,Instructions,MethodCalls,MethodFrequency,TimeReverseRank,SpaceReverseRank,ReverseRankTmp,ReverseRank
c1b5d309-1cd1,18,20868,2825,18,0,0,65913,960069,2,1,18,72,4,76,32
c26b89f7-cfcb,15,108543,20023,15,1048,224,65919,960115,4,3,264,148,140,288,144
3b16d8a4-eed9,79,37216,2471,79,1248,144,65913,960070,2,1,80,102,147,249,130
66234870-1c41,3615,12837086,73608,3615,276768,1304,65919,960115,4,3,14053,285,287,572,289
decc3cbf-2194,12,25358,7390,12,888,144,131826,1920140,5,1,326,81,133,214,107
b3148400-9eb5,1,3349,3349,1,192,192,65913,960070,2,1,2337,6,41,47,15
508904a9-9732,2,6082,3277,2,544,272,65920,960119,10,4,10035,18,101,119,60
18ffa154-5527,3,27115,21039,3,344,160,65913,960070,2,1,3674,85,76,161,82
6c7983f3-269b,3,11455,5773,3,336,112,98869,1440104,4,2,14,38,75,113,57
2cc25c74-4073,1019,6269628,28078,1019,51952,112,65913,960070,2,1,1032,271,255,526,261
9a6ac074-c997,197,512640,19009,197,2560,152,65919,960102,8,5,33,202,162,364,177
10579964-52dd,1,5122,5122,1,200,200,131826,1920139,5,1,3,12,48,60,23
277eb9e6-ffd5,1977,8882472,177468,1977,82488,216,65913,960071,3,1,6745,278,264,542,271
f4679d4d-4a2b,1,10630,10630,1,120,120,131831,1920168,15,4,2,33,17,50,19
7735342e-bdae,20,39777,16645,20,1736,216,65919,960121,11,3,42892,104,156,260,136
286e0fbd-3471,20,108345,42646,20,1256,208,98871,1440121,13,4,237064,147,148,295,153
42c3ab22-b736,666,404290,13504,666,432,144,65913,960069,2,1,774,192,87,279,141
73ed645f-a635,3,223410,95587,3,1080,424,230712,3360358,19,9,3,168,142,310,160
405f2289-4349,101,1533904,84042,101,10208,176,131835,1920194,16,6,102,238,213,451,226
2dc65805-80ce,8724,3839669,134926,8724,33800,1752,65913,960070,2,1,8900,261,239,500,255
fa4214f3-5be2,2,6049,5249,2,184,184,65913,960071,2,1,0,17,37,54,20
d57f68c6-391e,7,10883,3963,7,376,128,131826,1920140,5,2,9,35,83,118,59
08ea3e72-f779,5,34755,9737,5,432,136,65913,960072,3,1,0,97,88,185,95
779fbd31-2fc9,4,22906,9478,4,3776,1416,65913,960071,3,2,2158,77,172,249,129
5d138891-ef86,29,77721,16106,29,808,136,131826,1920140,5,1,9,132,129,261,137
ce3b8776-2796,7,18439,4241,7,288,144,65913,960070,2,1,86,58,67,125,62
