LoggingID	PotentialMethodCalls	PotentialInstructions
0580afc3-d293	65926	960162
b1fb8c15-c351	65914	960073
6809434f-12b5	65979	960644
34af0b4d-b697	131832	1920188
c74884c3-9a11	131968	1921732
a63d8cff-167b	65922	960151
db700e7b-340c	131832	1920174
cdf433bf-df68	65920	960173
61e33d50-5671	131826	1920138
aa239f79-44c3	65913	960070
c52dec46-f2e3	131829	1920171
6afa3e67-bad5	65913	960070
4b023b6b-1d74	65916	960092
8dd33f77-4a8f	65917	960104
d669388c-ed62	65913	960070
9eb5b0a9-8e9b	131826	1920139
dd7c9c22-d134	65913	960069
4f060f39-0db4	65913	960072
cebf7019-39e1	65913	960070
c7cc96fd-39db	65913	960069
f1b1e42f-92ca	131829	1920161
cc7842ab-83d8	65913	960069
f9f6264f-baef	65913	960069
c5ee105a-3814	65913	960069
cc0d6288-7129	131832	1920183
0007142a-fc0a	65914	960071
77db7ce1-8fe2	65913	960070
97a93358-dd33	65913	960069
8244b54b-ea6b	65916	960085
827ec298-b836	65913	960069
9a6ac074-c997	65919	960102
f0b79ec8-1264	65913	960069
6c7983f3-269b	98869	1440104
d260d69a-3b19	65913	960070
b83c5b3d-2d40	98869	1440104
aa3dc7a2-16b6	164782	2400181
c7f446c0-aece	65913	960070
447c4237-c907	98870	1440109
57fcc939-8d8a	65913	960074
c57d0e7b-3689	65913	960078
c25e4b47-2e66	65913	960072
b69b6cfd-cf2e	65913	960070
0d09cc8c-cfa6	65913	960072
27381780-a6c0	65913	960070
6f6b6179-d7fa	65914	960076
64b239aa-6191	65913	960071
9a2d7937-9899	362531	5280493
33f0cf3b-1a05	131826	1920139
28aca01f-1bc4	65915	960079
66234870-1c41	65919	960115
56abfe78-6725	131826	1920140
cae9560f-77b7	65913	960071
da1061c2-09e5	197799	2880681
b7468681-403a	164788	2400224
2173630a-1313	131826	1920139
298c7c05-2ae6	65913	960070
e92035d0-fa9c	65913	960071
fc1c3866-973f	65915	960082
e55b505b-38b8	131837	1920194
e035c7cd-915e	65913	960069
a705bfff-b0f9	65915	960083
a4155baf-6b6c	98879	1440199
6202cd61-7d4a	65916	960091
100867e1-2ed6	131826	1920141
dc80e54f-1843	131829	1920161
762a2482-527e	131826	1920146
ced1ac55-a59e	98873	1440135
ff988b3b-0cc4	65913	960070
b5c271f0-ff78	98875	1440174
95f7b18a-4265	65913	960070
b23dc006-ee01	65914	960078
99b8e53c-a16c	98876	1440152
80a069af-e1de	98870	1440109
4e8777e2-b304	65913	960069
42c3ab22-b736	65913	960069
ae8d11c5-c529	131826	1920138
2b5775f8-14b5	65914	960072
61b85ba7-b3a2	98871	1440116
2ca9fd86-a07e	65913	960070
523ce7b9-7be2	131828	1920144
b7a9d951-b1a1	98875	1440167
a97a6ee5-6199	131826	1920139
ac1467d5-6aac	65922	960151
870584a1-e7bf	65917	960100
9b6304b7-aadf	65913	960069
89dc2f40-b0fc	65914	960071
917c3f91-19a2	197746	2880255
7c4d79a1-b61a	65913	960070
d8c51df9-3658	98870	1440112
c1b5d309-1cd1	65913	960069
82dcf9c6-849d	65951	960521
656292d9-ef9a	131826	1920139
f3e43b15-bf45	65913	960071
1bcf7324-2b0e	65913	960069
1802a2f2-bb5e	65913	960070
31348412-aede	65916	960091
a1d9ebca-62ab	65914	960072
d6b8da20-5d8e	164792	2400256
c724bf89-03b9	65916	960095
0b8d871c-1eee	131826	1920139
9d16f63c-76d8	65915	960081
72716fc8-4133	65914	960080
bdcb9c85-f50d	131831	1920167
cb8d7181-acb0	65913	960069
bff4d96d-7ef2	131828	1920148
3db0d327-4415	98869	1440104
e60c1ac5-2c59	65914	960073
be9b6076-b47b	131832	1920170
405f2289-4349	131835	1920194
363f1917-0a7b	65913	960069
794279af-dd5e	131827	1920143
b4a770b7-8038	65953	960452
d57f68c6-391e	131826	1920140
1dae5c8c-4b5e	65913	960074
9660d5ff-8236	65917	960094
01e0be6e-6d53	65915	960083
3ec74860-caa5	1353296	19699777
073aa94d-b538	164785	2400194
ca6220ff-df61	65913	960070
156ab65b-3720	65916	960096
38a5c23b-7da8	65913	960069
0a921059-3030	65913	960069
cb017891-71da	65913	960070
6a1ebf87-5d6a	66038	961255
95c2e7e6-2e2d	65913	960069
6710e738-1882	65913	960069
ce3b8776-2796	65913	960070
0aeb48dd-1696	65913	960069
31c965cd-087f	65913	960070
55fc4c68-a581	65913	960069
56d10794-65f0	296983	4322785
2b48079e-9566	65916	960093
b61f84fc-456a	362702	5281971
894f39a7-cc84	65913	960070
9ab3da73-7aec	65920	960119
73981349-8c20	65913	960071
702c6875-5581	65913	960070
1033af12-d5b1	65921	960119
1c001bce-de35	65913	960069
97e023ce-a248	131826	1920139
5257d2b4-0e9a	164912	2401638
43b6fea3-f18e	65919	960117
79b60f0b-cfa9	65913	960071
1a0dd8bf-63fe	65913	960071
8c0185e9-1513	65913	960070
0cf66a63-5abf	98870	1440109
4f4bef59-3508	131829	1920153
92e9f31e-00e8	131826	1920140
9d80bd59-2795	131826	1920140
7225abb1-7a44	65916	960096
da3e643e-f6f9	65914	960078
db93285f-4105	65914	960071
1fda4b38-98ac	131826	1920140
b0f57ecc-a2d0	98869	1440104
24f8558a-3422	65916	960092
6c7dd497-c1bf	65916	960093
1029fafe-1a91	131826	1920140
2e4ec12e-a80f	65913	960074
fa1d68e5-3a72	65927	960164
d29fb580-c9ea	65913	960071
a8a07652-2a6d	131829	1920153
05959006-cc6d	66041	961495
e13ba245-494c	65913	960069
2dc65805-80ce	65913	960070
9a969c60-9251	131826	1920140
c753a8f1-91ba	131826	1920139
029c43e8-0cf0	65913	960070
6d1af390-b93c	65916	960093
65e8b49d-7aff	65913	960070
0f083e77-2f17	65913	960071
5cee03b2-9aeb	65916	960091
16203a23-2cf4	65913	960070
ec7e6ebe-70df	65913	960070
8d7d7d0c-d15e	131831	1920170
f4679d4d-4a2b	131831	1920168
e9a45019-91ba	65918	960115
89de732e-cb83	65913	960069
07df092e-5feb	65913	960070
30fd7110-ef18	65913	960070
d986e013-e70d	65913	960069
10579964-52dd	131826	1920139
f4d13f8c-fd03	131829	1920171
18ffa154-5527	65913	960070
5d138891-ef86	131826	1920140
03b55145-15d8	65913	960070
07c6b9cf-01be	65913	960069
78e2c90e-b650	65913	960069
d87d4ed8-5bea	65913	960069
414263f3-748f	65914	960078
f28de54a-7a80	131829	1920151
77f371ae-bbb4	65913	960069
a91a6868-5692	65913	960076
bd060119-9b04	65913	960069
0168ec72-7b69	65913	960070
9a350b54-7089	65914	960071
7d4eb1f8-6ee2	65913	960070
cc12c230-0fe8	65914	960073
3504268c-3b64	65913	960070
46a5b450-fe05	65913	960070
067d4e11-65ab	65913	960070
20f2f9dc-a283	65913	960071
3e47e10e-7d32	65913	960069
5e73ca1a-c82f	65916	960090
b8b4a4b6-1cf8	131828	1920145
73af462e-d4f0	65913	960070
b1cc0c25-8c7d	65913	960069
afcb8bdf-c650	65914	960075
69af3b19-2d2b	131830	1920165
6d6d6b67-d6ac	132034	1921696
8dbab86c-0793	98869	1440111
3c27ad4f-b482	65913	960069
d8da6838-8469	65913	960071
075403d5-4c5c	131828	1920145
a1146e55-52a5	99073	1442163
37027a43-e776	65916	960093
1d234970-6138	65913	960070
3943d22f-5e77	197738	2880207
277eb9e6-ffd5	65913	960071
87461cfe-ed0e	131830	1920164
5ce58501-a07a	65913	960070
b5a3eafb-f05d	131829	1920161
4da8a7cc-ddfb	131828	1920142
c38ccac1-5f2a	65913	960070
c06601e8-675c	65913	960070
6fda94da-7570	65914	960078
0aa57abc-6eb6	65915	960085
20f9a529-1dca	65914	960079
ca3b146c-76f0	65913	960069
17e3187e-75d3	65991	960865
1f6054ca-9708	65979	960644
adbe43a5-6a06	65913	960071
691ef5f9-88fe	164782	2400177
f57c91b4-c693	65913	960069
35cddc7c-42ee	65919	960129
85d24ffd-0bd6	131827	1920153
a04a2916-bd20	65913	960070
8ff8232b-2989	65913	960070
208665df-ce0b	65913	960069
f0fe752e-d40b	65914	960073
379ecb70-c5c1	65913	960069
ec888ddb-07e3	65913	960074
04653426-a7de	131903	1920848
9665e70b-0f7c	131826	1920139
fbd4b5d3-4b14	65928	960170
422718e4-17ec	131826	1920139
a3f3adde-7329	65913	960070
f9705258-8199	65913	960069
34495a2a-7bf4	131826	1920139
be16a863-c60d	65922	960134
f436c549-4626	65921	960119
0b0778e3-51e1	65913	960069
74864cc0-8221	164790	2400235
f9593a4a-cd0f	65916	960092
705db999-e10a	65923	960130
562ea064-8006	65913	960069
9d9838a0-8b55	65914	960071
490ede1a-b34d	65913	960069
87ac077e-b7d3	65913	960069
457d4028-944a	131832	1920187
362bc9ca-ded6	65914	960073
d631f1bf-2c4e	65916	960088
cf73b671-07c2	65914	960081
c436936a-2136	164853	2400714
58359ea0-0612	65913	960069
8fd5667c-3576	65917	960101
f11d71cc-7ede	65913	960071
57f4bb55-6b49	65915	960085
60c7d522-e71c	98869	1440104
bf99984a-f886	65919	960112
92e1c4a6-35a7	65913	960072
5673e2a0-54f6	65916	960092
69652125-6eac	65913	960069
25e89edf-122c	65913	960069
dd9f2017-de62	131829	1920148
e0737605-7bc4	65913	960076
1f48b493-86d7	131826	1920140
3759213a-1566	164785	2400198
73ed645f-a635	230712	3360358
5c15fc2f-fa08	65913	960071
edaca8c4-e32d	65915	960087
823a0e4b-eb72	131826	1920142
12c5bd62-f514	131826	1920145
aa881c15-75f6	65913	960070
70a51b37-7a07	131826	1920143
ca4cde3f-0aee	131829	1920162
ad6a26df-c286	65913	960069
01163cff-7530	2343245	34113637
29944fa0-8568	65913	960069
5664bf76-d3c3	65913	960069
debaf757-ea4a	65913	960069
58cad3d6-c01c	131826	1920140
ca55f26b-3f6f	65931	960161
779fbd31-2fc9	65913	960071
797a4039-1230	65913	960070
65c7ec22-a8b9	65913	960071
c9642b1f-761c	131826	1920140
fa4214f3-5be2	65913	960071
f75ea352-f3fa	131898	1920820
8e3de23d-d621	65914	960078
6d427f93-5ea0	65919	960121
4ad92926-6c80	65913	960070
b63b2ade-3a4a	65913	960069
f5a8b058-76f2	131829	1920162
90f102fc-987b	65913	960071
445d7f41-5794	65913	960070
ba89d996-b3a0	65914	960072
e5591f26-5272	131831	1920165
a3436720-8474	131828	1920144
a6dde749-2438	131831	1920168
1d630b1a-7f5f	164782	2400172
2bf55c62-0077	65913	960069
99fb1ddf-69d2	131831	1920162
04f456c4-4ab4	65913	960069
53723eb8-1c02	65913	960070
9391e002-7ba1	65918	960101
bc67916c-9c35	65913	960071
c9d382b4-6154	65913	960070
725b4c4f-b00e	65913	960079
80e6ada6-3851	98875	1440175
324d702c-f735	131826	1920138
f580f194-27d9	65913	960070
4b5e2d07-6b3a	65913	960069
979bd3c1-f640	131826	1920143
8c8143c6-febe	131826	1920140
82f0ce45-4f8a	65913	960070
ddf382d5-7165	65918	960098
6a0ccb45-5cfd	131826	1920140
d2854987-2e46	65913	960069
7dd88a75-5107	263884	3841404
ba9c0022-a696	65914	960077
d47f652e-4444	65925	960129
dd8f56f7-41f5	65913	960070
fc1a8f26-a2aa	65913	960069
33988c57-695e	65913	960069
28fd88bd-b0d5	131831	1920166
99b4fcd3-4f67	65913	960069
95d28104-a2ec	131828	1920145
0075bd3f-77e6	65913	960071
1b749bc7-7b5d	131826	1920139
b753fadd-71ae	65914	960071
e6e804b7-81af	65913	960069
6105a714-50de	65913	960070
18c4c530-d86e	296627	4320493
bac74c6e-80ad	65913	960071
156268f9-5025	65913	960069
942764fa-69db	65913	960076
417422c7-b292	65919	960129
0771fd54-1ed7	131826	1920138
10d2858d-5d9c	65919	960104
22678aa5-c3ae	65913	960069
3fb58b8d-1373	131836	1920190
6d384cf1-3fd0	131870	1920613
b89343b3-39e2	66041	961495
c942c084-1582	65913	960070
0b3fa734-9207	65913	960069
afa096dc-293c	65913	960070
e93a0a31-05dd	197762	2880401
854cde87-71ce	65913	960070
310dc7a0-53a4	65913	960071
b6e1f56d-4d66	65913	960070
308a2a95-b806	131826	1920139
ab1704dc-2409	131829	1920151
8dcd6200-cd14	65916	960090
903fd158-75fc	65913	960069
d69e1612-bb39	98873	1440135
85c83a63-a701	65919	960107
0e5f8818-840e	65913	960072
f439d90a-0fb6	65913	960070
508904a9-9732	65920	960119
