,Time(ns)Count,Time(ns)Sum,Time(ns)Max,Space(bytes)Count,Space(bytes)Sum,Space(bytes)Max,PotentialMethodCalls,PotentialInstructions,Instructions,MethodCalls,MethodFrequency,TimeReverseRank,SpaceReverseRank,ReverseRankTmp,ReverseRank
d386c38c-9a60,388,6820981,581580,388,542480,1712,25010,427142,33,22,1378,99,91,190,97
2cdce530-98a3,5,489909,398162,5,77144,64680,459,3646,10,7,10154,55,65,120,60
a650e6b2-76de,42,209927,13253,42,105632,2736,436,3385,11,6,2937,47,69,116,54
984cc5cc-2987,16674,69608763,24011945,16674,84513200,6728,500,4006,13,8,8,125,129,254,126
a7f8aa97-df88,124,6403281,973157,124,403512,3592,465,3681,14,9,3780,97,89,186,95
34f092ee-23b7,46,121412,15460,46,45528,1224,465,3680,13,8,4046,35,59,94,44
273f27dc-7d5a,3211,16764943,595660,3211,8209576,3704,395,3027,10,6,3805,110,115,225,112
cd5cd174-0808,35128,61504154,610663,35128,90468624,8992,630,5298,18,12,2310,124,130,254,125
7b6af115-643b,13117,45871970,113110,13117,8795648,1680,503,4059,14,9,10766,122,117,239,120
70eb31dc-ec43,6,1330220,1192705,6,146992,143496,467,3685,14,12,0,72,74,146,76
050b8763-3bca,879,4794877,354172,879,726328,912,397,3035,7,5,504,90,96,186,94
deb38d02-4140,7,86314,69762,7,4576,1552,405,3074,11,9,265,28,25,53,25
09c05414-6e48,13,73665,14779,13,39432,3304,395,3033,12,7,1763,25,54,79,41
417c778c-f72b,33,81612,19125,33,16368,496,434,3375,12,6,66,26,41,67,31
819c35ed-e85e,41,966984,72383,41,103688,3552,558,4751,12,10,1,68,68,136,69
f9a66166-7900,54,181743,41513,54,45832,1056,466,3684,14,8,3,45,60,105,51
9954f4ed-d250,348,486797,27990,348,170144,944,529,4305,19,11,520,54,77,131,64
fb649407-5ae7,750,2867899,36693,750,598376,1104,434,3374,11,7,1696,85,93,178,92
2ac0148e-6793,51,89345,4301,51,23544,552,426,3330,9,6,66,31,46,77,39
2b2816ff-240e,14,149211,53219,14,13200,1168,566,4802,21,14,176710,38,37,75,37
ca4a4d41-50e9,939,6750021,152523,939,2467440,3936,405,3081,11,5,22465,98,105,203,102
8ae76a0b-1434,8,31386,15065,8,2192,352,405,3073,10,7,0,12,16,28,13
db70589d-9881,5,18358,5004,5,1384,328,428,3340,8,6,139,7,13,20,8
9d345dd8-03cb,219,809971,26417,219,114016,720,492,4040,10,8,8,66,71,137,70
ca08b646-e3bf,2879,4686222,24989,2879,5400,72,300,2106,4,1,4,89,29,118,57
6ba358e6-2083,114,2286362,135704,114,197384,2016,25014,427190,34,23,463,81,79,160,84
3c1b9be3-57aa,39,199207,28642,39,20616,624,395,3025,8,5,3102,46,44,90,43
1b7c1d9e-4337,1027,2608195,32718,1027,522728,632,403,3070,11,5,760,83,90,173,90
ae5f07e5-827b,264,2286865,31794,264,31680,120,300,2098,2,1,520,82,50,132,66
07666f6d-559f,1,72278,72278,1,1312,1312,6549,109015,15,8,0,24,12,36,16
7a70f0a8-e2a4,17949,31991477,94370,17949,43282256,3192,436,3385,11,7,8,120,124,244,123
f9db3538-742b,1222,3312842,28936,1222,33184,136,300,2098,2,1,1348,87,51,138,72
a5296011-e4b4,52,580173,36782,52,254976,6456,469,3705,12,8,2937,59,84,143,75
a6e2ff30-0354,21,20747,6398,21,144,144,300,2104,2,1,31,9,4,13,7
fbc044a9-775d,4081,5430441,325743,4081,28376,1256,308,2143,5,1,4589,93,48,141,74
c591b4df-cadc,2261,9579984,39155,2261,6764032,3408,436,3385,11,6,0,105,113,218,108
b0a1d1db-e285,2,44861,40114,2,2912,1456,662,5641,21,16,2,14,21,35,15
2be57825-6c1b,8,19367,4221,8,2408,376,403,3069,10,6,608,8,19,27,12
a183b687-0246,1,109744,109744,1,2296,2296,6714,110757,24,15,21,33,17,50,24
cdbb1186-944f,13,45266,11452,13,3368,320,403,3069,10,6,15,15,24,39,18
884939de-997b,8,67721,19928,8,20120,3160,436,3385,11,6,2937,21,43,64,30
aad5dd7f-9575,787,1849187,26407,787,7280,80,300,2104,2,1,13,76,32,108,52
10b999bd-baf6,2753,15479457,142971,2753,3820008,3936,660,5633,19,14,1908,108,111,219,109
7013fbcc-9602,2,45890,33275,2,14808,7480,533,4322,14,9,2937,16,39,55,26
53cdbd02-8f5c,12,168348714,136991362,12,73536208,61189408,405,3080,10,5,20,128,128,256,129
bb02885b-e6ef,6,13484,7214,6,104,104,301,2100,2,2,21,5,3,8,4
dbee8623-2573,11781,16552823,49515,11781,19618912,1832,438,3389,11,8,293,109,121,230,116
1cb02740-2a8a,52,246657,20227,52,106296,2736,405,3084,10,5,2937,49,70,119,58
862c72a7-0777,3720,7514475,112805,3720,2238544,1360,597,4983,18,11,2237,103,104,207,104
a043059e-7be2,10,2795008,574071,10,156184,113304,467,3696,18,12,92,84,75,159,81
59cc21b7-16e0,33,172426,23540,33,15816,640,434,3375,12,7,66,42,40,82,42
193b0034-e331,394,2095043,37134,394,351664,1160,403,3070,11,6,0,80,86,166,86
3eae70ca-6f78,769,4644496,71195,769,1989488,8976,630,5298,18,12,2237,88,103,191,98
aa369a4b-ae8d,567,1121117,36097,567,274320,712,527,4296,21,11,30354,70,85,155,78
308540a0-4657,345,1380975,37225,345,208712,792,405,3080,10,5,0,73,82,155,79
6bb3c724-f622,11781,14335835,489321,11781,14730808,2520,407,3084,10,7,293,107,119,226,114
93195639-9ec1,2,120795,72740,2,3024,1608,6442,108023,5,2,5,34,22,56,28
c4735409-c2a6,106,1324487,50069,106,99736,1160,496,3987,16,10,599441,71,67,138,71
65836af4-d54c,9742,183879297,10591912,9742,43324776,274656,19007,270548,41,27,0,129,125,254,128
38fd6be1-74f0,159,500331,24589,159,1728,144,300,2098,2,1,1,56,15,71,35
fbb11ef5-1dbd,1768,6385652,67218,1768,933800,800,428,3334,9,7,2656,96,98,194,101
f8369eaa-e994,4,6983,5570,4,0,0,525,4334,26,19,0,3,1,4,1
275669fe-8985,68,1110183,96653,68,120464,2240,591,4914,20,16,12970,69,72,141,73
3d689c48-76b2,518,20002151,1116607,518,1513744,126472,467,3685,14,11,0,115,102,217,107
ca7cf77b-613f,8701,7316927,34444,8701,4723072,1136,95,929,8,7,4989,102,112,214,106
f1f1f147-6cef,2,55518,44488,2,2360,1336,597,5018,19,14,0,19,18,37,17
5b767a65-5c8f,53,257246,42562,53,27104,672,6790,112229,18,10,599480,50,47,97,46
e74249e7-2305,167661,219123856,107393,167661,134504848,2048,469,3785,17,9,176710,130,131,261,131
c5517eda-e006,45,230399,25532,45,39672,1080,434,3378,15,7,163,48,55,103,49
68f0b99e-573f,4477,24891127,408753,4477,11531888,4336,395,3027,10,6,3805,116,118,234,119
bd2ca599-a68a,16,618990,118446,16,59288,4120,661,5643,21,17,7,60,62,122,61
70910775-520b,11,13587,1955,11,440,88,300,2104,2,1,563,6,7,13,6
3ba04450-3731,219,1913340,76452,219,223064,1896,620,5361,14,12,8,77,83,160,82
26a1ed2f-f51d,13993,18463137,52625,13993,3561136,440,407,3172,12,5,176710,113,110,223,110
9aff6031-81e8,8633,10644355,119080,8633,61304,1256,308,2143,5,1,30985,106,63,169,87
4b044c32-be91,50,164099,18063,50,3360,168,300,2098,2,1,5201,40,23,63,29
175048e0-8c85,29,131314,19950,29,1024,136,306,2152,5,4,1,36,9,45,19
788700cd-90af,5952,29308532,1523032,5952,2901536,31184,403,3071,12,6,4559,119,107,226,115
11244c95-64ac,64,70067,12910,64,496,144,303,2125,4,2,31,22,8,30,14
0a3514a7-975c,2829,16986508,1898379,2829,1469184,736,509,4121,17,10,4046,111,101,212,105
803b19b8-a4e9,11784,17711811,136320,11784,19705712,1776,438,3389,11,8,537,112,122,234,118
904f9e28-739b,538,4943449,50781,538,1375176,3600,436,3385,11,6,0,91,100,191,99
1f771365-38ca,1183,7666445,5049383,1183,34176,96,300,2098,2,1,1486,104,52,156,80
892a67ff-e626,7,66782,23782,7,4880,848,469,3740,13,7,28,20,26,46,20
956b0b08-c12a,7,72173,30036,7,4984,808,405,3074,11,7,265,23,27,50,22
32b5d91e-1060,22,89045,18289,22,2880,144,300,2098,2,1,5201,30,20,50,23
bd45fc51-6d63,10,1745370,335593,10,631656,63936,6548,109008,12,8,33,75,95,170,88
30f0cfa1-3ea3,39,169697,18166,39,71816,2504,459,3645,9,7,53,41,64,105,50
b7275119-777a,939,1995917,57597,939,610240,904,502,4060,23,11,22465,78,94,172,89
eedfd948-4d3c,881,555552,15731,881,916232,1040,496,3986,15,8,760,58,97,155,77
ec31f4d4-c1de,2,25146,23177,2,1032,560,405,3080,10,5,2937,10,10,20,9
e258ae97-a015,110,472934,19409,110,197864,2192,300,2099,3,2,3687,53,80,133,67
020fcbde-8ecb,94,463961,18558,94,124976,1720,97,938,6,5,4989,52,73,125,62
71763eae-66b6,7,106018,28889,7,10528,1672,436,3388,14,7,4,32,35,67,32
76364279-54dd,21,135367,32175,21,12288,712,405,3082,12,6,66,37,36,73,36
6f33ca69-be84,219,818803,37492,219,5472,144,300,2098,2,1,8,67,30,97,47
6f199f95-37aa,2495,28584320,185498,2495,7874896,3816,969,8671,45,26,1033,118,114,232,117
96048277-be7b,618314,629184158,2653283,618314,157836952,1696,500,4089,17,10,599531,131,132,263,132
a6e17188-93b1,3718,5300924,21318,3718,568264,464,343,2519,13,2,2,92,92,184,93
f4aed879-2873,2,5196,3292,2,1104,616,403,3071,12,7,33,1,11,12,5
4cfd5811-b967,859,27615405,538981,859,2905520,38536,405,3081,11,6,0,117,108,225,113
dd6af1fa-ab25,15580,129809481,19299198,15580,50901168,13656,523,4270,15,13,8911,127,127,254,127
e5f5ad1f-5ff1,33,88758,5550,33,17016,712,434,3375,12,6,66,29,42,71,34
0278c93f-e46a,328,737410,10415,328,5544,88,300,2104,2,1,0,64,31,95,45
e4084625-7bb6,16,5599541,5020287,16,1221872,1196720,468,3696,15,9,3,94,99,193,100
053c43df-2a59,22,623609,48020,22,44480,2032,405,3080,10,5,5201,61,58,119,59
d5524300-9fef,38,41824,2730,38,9800,328,434,3375,12,6,15,13,34,47,21
6c671c6f-e4e8,101,152834,20270,101,5200,200,300,2098,2,1,54,39,28,67,33
ddb77a15-5d62,3913,19574490,865690,3913,3442344,31128,457,3636,11,9,4559,114,109,223,111
0fe05131-98bc,721,805637050,30628027,721,45122568,1668120,465,3681,14,9,736,132,126,258,130
2ca9437c-ad60,51,176530,16212,51,44072,1048,403,3070,11,7,0,43,57,100,48
4bfae298-6121,235,7110938,6090974,235,359304,2760,436,3386,12,6,599727,101,87,188,96
7d3da5e0-9075,731,1722737,73279,731,366248,856,395,3025,8,5,3687,74,88,162,85
ec6c1b05-07dc,617692,6557124574,16385128,617692,1145494200,1645456,9361,131351,15,11,599480,134,134,268,134
b53d5086-620b,9,178332,33615,9,7920,880,434,3374,11,6,186,44,33,77,40
22f8dbaa-7dec,469,2024237,125306,469,206920,1792,438,3389,11,8,254,79,81,160,83
c8da99f3-2118,21,48815,14028,21,14568,1096,434,3374,11,6,15,17,38,55,27
