,Time(ns)Count,Time(ns)Sum,Time(ns)Max,Space(bytes)Count,Space(bytes)Sum,Space(bytes)Max,PotentialMethodCalls,PotentialInstructions,Instructions,MethodCalls,MethodFrequency,TimeReverseRank,SpaceReverseRank,ReverseRankTmp,ReverseRank
deb4c236-81d2,3985.8,179749357,129398389,3985.8,19952562.4,22656,30323,406953,26,19,4002,160,156,316,159
952fb746-54eb,22495.4,975677026.3,4661773,22495.4,202834786.4,18736,351,3419,22,17,22817,185,184,369,186
c0ceee88-bf09,1536.9,132798045.1,14758789,1536.9,11970949.6,23896,444,4331,22,17,1492,157,152,309,156
51d41358-4194,390.2,2270426.5,221664,390.2,349264,1136,723,6283,17,11,14748693,81,86,167,82
68d275f1-34aa,73731.6,2033093572.6,141830955,73731.6,307162100,969368,289,2809,20,13,63550,197,190,387,192
12736e5c-961a,20054.6,20685243,139732,20054.6,27925384,2648,318,3102,20,14,21496,123,164,287,142
ece5ae94-9e3e,151,2979502.333333333,84376,151,214133.3333333333,1600,452,4607,24,18,544,84,78,162,81
cff23f85-d325,322.6666666666667,485613759.1666667,13826622,322.6666666666667,22105509.33333333,1739608,120148,1615193,19,16,315,172,159,331,166
f79c1b69-c606,53.1,8785599.3,727156,53.1,1017007.2,58008,225,2187,17,12,99,111,107,218,111
4729ec0f-2b18,84937.5,102208655.2,13778686,84937.5,51673636,7352,314,3082,22,12,701566,154,173,327,164
70c0dc68-62db,2001353.6,2062349240.7,33397949,2001353.6,314932803.2,19784,59747,804907,19,8,24528025,198,192,390,195
9cb6fb0b-24d9,858.7,7007981.9,1448895,858.7,1758517.6,7176,698,6004,17,11,928,105,122,227,114
705ae6c4-5711,5,61594.9,22548,5,8512,1912,358,3689,19,14,5,19,31,50,23
d9f2fe67-5afb,22662.5,656301305.1,3853637,22662.5,134650221.6,22960,59956,806975,20,15,139814,179,179,358,182
a264e24f-2c0e,5,39039.8,28246,5,3136,856,715,6081,17,11,13,17,13,30,14
7178fd83-17a3,22,1476719,207336,22,193310.4,9512,347,3399,24,17,25478,78,74,152,76
aca26c8f-7fad,2,266499.9,179944,2,38731.2,24728,380,3712,22,18,26962,45,54,99,50
0aba8b67-dc9d,2,13733.4,21583,2,1088,544,746,6385,17,11,6,5,4,9,3
dd280a69-05de,796.6666666666666,7797994.833333333,1169614,796.6666666666666,804040,5520,821,7073,37,20,846,107,101,208,106
60ee54e1-7b84,448.8,39731840.1,2688730,448.8,3379411.2,48384,120142,1615226,20,13,838,136,131,267,133
49957e0a-d95c,4,91239.5,75049,4,5216,1472,777,6693,21,14,8,26,20,46,22
1c3f593f-8fba,2,325858.5,276882,2,13192,6680,60403,810360,20,14,16834,50,40,90,43
1b2e16f0-5b8c,2,112935.3333333333,150248,2,5312,2952,411,4014,20,15,287,29,21,50,25
4a9c52fc-f0bc,393.6,3200862.1,273454,393.6,373848,3016,281,2766,21,14,636,85,88,173,87
c3b46859-b6a5,1,109962.1,135925,1,7632,7632,30152,405188,19,13,21183,28,28,56,30
a31b2741-85f5,1205.2,52569478.3,6383252,1205.2,6370859.2,23528,30152,405186,17,12,1677,140,143,283,140
9cb0fe9d-2a03,20847.6,631234260.8,3245307,20847.6,146407624,10112,287,2799,21,17,20889,178,180,358,181
cff05332-f1ca,26.6,223266.9,94761,26.6,55133.6,7304,59826,805607,25,6,8187,40,58,98,48
d596e8c6-b726,195,22527715.6,661378,195,1327030.4,6968,343,3377,24,17,1120,125,115,240,119
920fd9eb-3c63,2136.4,30217968,1258590,2136.4,3798507.2,5392,660,5515,18,11,2858,132,133,265,132
22b64e14-87dd,6,34755.5,32367,6,6144,1104,343,3373,20,15,6,13,23,36,17
be2d0811-9c20,205,13984132.5,2458778,205,1345306.4,8280,287,2797,19,15,205,118,117,235,118
4b52fb86-e04c,712.4,46531646.7,9581577,712.4,2981600.8,24168,223,2176,17,13,1013,139,128,267,134
bdcc6a35-c4d7,2,640862,580934,2,35461.6,28008,355,3597,20,14,12,58,51,109,56
91ee7090-91df,60,16613.1,13354,60,2880,48,98,973,31,11,60,6,11,17,8
a727a7f6-612c,6,36839.2,19547,6,4576,880,635,5446,18,10,522,15,17,32,15
a4f50d04-05f8,83.8,4696894.3,1169976,83.8,40169.6,12832,59769,805035,22,11,163,94,55,149,73
f829c07f-a409,1495051.1,3745372336.2,303945137,1495051.1,550738802.4,531544,841,7317,28,18,1148007,205,204,409,204
6d132a99-9d92,934.6,24478279.9,2087083,934.6,2523435.2,10720,221,2166,18,12,26909,127,125,252,125
ccf40895-f157,8.6,906826.9,320641,8.6,106632,26792,289,2807,18,14,10,65,64,129,64
635b2ff8-c5f5,141,6621051.1,1199538,141,740120.8,6584,283,2776,20,16,141,103,98,201,101
95070d04-1329,4387.5,588305837.2,18738709,4387.5,40139543.2,17176,477,4649,25,19,66942,176,168,344,171
3ba07e24-e22b,1,8336.5,11116,1,1208,1208,777,6689,17,12,68,1,5,6,2
