LoggingID	PotentialMethodCalls	PotentialInstructions
581b99b8-ace8	161	1562
ed02284d-8df0	161	1563
85f791a1-4568	777	6693
c9c3d12a-a848	0	2
2730ce63-9b21	223	2176
a0f40407-5914	30042	404359
d5c0d90d-cf33	560	4554
2ebc8b83-a2ce	223	2176
7e9f7a1d-197c	622	5164
480c828f-9255	622	5164
f5d1f157-3354	538	4425
4cfb2daf-4d9b	99	946
a4f50d04-05f8	59769	805035
dee8419b-2824	161	1556
c1d423e5-0bf8	59735	804812
9f8adedd-b3ea	95	928
5c3f4930-f6af	96	935
0c50e0b0-37e3	95	932
a86b8ba9-1c78	59742	804858
ea99e696-c4aa	59759	804951
e3eb7808-9067	326	3380
6261c60b-3006	413	4031
364cf62b-7b80	562	4565
accadbbd-f3ab	95	931
0cdc46e6-199d	0	5
9140b6b8-b490	59735	804811
3190371b-c40d	95	929
0144ed4e-e85f	59738	804834
50caa02f-8c96	219	2154
198dcc6f-0a64	442	3489
fd0cb018-d8ed	626	5186
7fdc2b1e-327e	622	5164
432ad0e4-9e82	59735	804810
1615001c-0159	441	3487
c809a492-5b2c	441	3487
1f0d594d-4277	562	4565
26a532a6-1720	0	2
61c7875d-27b9	158	1541
c0ceee88-bf09	444	4331
b310fe9e-114b	560	4554
c83634b7-5c55	59836	805735
455fcc22-40e0	442	3489
17f24a38-a0a1	0	5
871d3612-0a13	591	4859
d20459c0-c008	591	4859
9a3284da-717c	59739	804835
72bc827d-1d89	59735	804811
79fd1ae7-e030	159	1550
ef169323-784c	97	939
effb3e5b-5d0a	59738	804834
dc315577-5515	59735	804811
2def0197-23d6	163	1569
34a61f01-25d9	441	3487
f1d16d2c-ec54	59744	804880
e9ee4a47-7bb1	441	3487
0e305599-df5c	560	4555
3c62b1b7-6416	59735	804811
d1a75c0d-a99d	59759	804952
24c9dba5-6722	314	3082
19fb649f-2cfb	59765	804991
18c49d1f-e49d	59735	804811
18d2e2eb-f1cc	157	1540
50d2e5ba-4b90	59735	804813
6303d703-3c98	560	4555
969e6c0d-2198	59759	804955
1d56c3d7-a86e	59737	804818
4b5bfa09-b43a	95	932
0bf17aa8-ea42	95	935
1a96d649-d6b2	30427	406957
2a8c3725-1080	260	2670
4fb890be-cdfd	59735	804810
769d634b-aa81	659	5526
58c9c3cc-29c0	59741	804845
bda2b8b3-b803	59736	804823
e7aa5a5d-614a	591	4860
0be4c2d8-afae	287	2797
62914811-b568	161	1564
4572219d-3b00	30152	405188
e7a24082-d6f4	159	1552
87361f46-34e6	126	1233
92c76f5c-0cc3	29867	402409
d2ba0725-e8cc	59735	804811
8d0923ec-6e9c	465	3628
4a1cd858-da02	0	2
4c238c39-4fd4	597	4911
675448a1-ebc9	0	11
7383ff45-7c9c	59738	804831
170a1df8-2074	29962	403334
d4ac3cf2-053b	29870	402444
92077ba0-b49c	441	3487
f8062c4d-2f43	538	4424
41ffcb83-f537	100	1037
5207cad8-9cca	0	2
699c6a7b-dae2	465	3629
9a01891d-99e4	560	4554
69ca19e4-f003	749	6395
33e0135a-fb3e	699	6028
1232db6e-7bfc	59736	804813
bfa697c4-cf5f	97	940
918d6564-1109	97	942
0c7d337b-d8cb	331	3227
e0fd4289-d1e8	622	5170
4e0a71b7-603c	96	932
1ffac23d-0c22	166	1748
f04a5f30-e720	226	2267
89d661fd-854e	89611	1207289
1f881e42-3f5a	97	942
dbc6afd2-08b0	59741	804858
25a0bbea-c58c	59739	804840
8d28c0a8-0644	159	1552
efb16554-dc71	96	931
a9bece4c-1db3	624	5177
38ca8063-6f36	192	1870
f47e9997-4f78	659	5520
6b98a03a-0000	594	4877
5bb0325e-d84b	529	4250
cb094ff2-264f	849	7370
3b740f09-f996	59736	804818
a3795063-a9fb	161	1563
a4de7ec0-fdb3	747	6390
c4b1b145-643f	157	1541
32522a74-c7fd	219	2153
49957e0a-d95c	777	6693
5129edf7-54b0	714	5970
a72823a2-5dc9	0	2
423730c0-7503	287	2798
6b30cdcd-6fb1	126	1236
906cb456-0d5c	157	1543
fd697235-a8dd	161	1563
a40e2467-06c6	164	1657
eb9bd7a0-3f99	223	2254
8c61bd12-c1c5	692	5898
7dd7c930-2ed7	97	937
8c15eff5-9d3f	96	930
4a9c52fc-f0bc	281	2766
392503cc-73da	97	943
32f5f066-7fb7	537	4418
12dac4cc-f3b9	89828	1209013
1113cdc9-8b37	159	1551
02cd2bb0-68a2	30429	406966
7b0fc7bb-6d1c	161	1565
bb0a625f-6a45	95	928
3255e108-450f	538	4424
7cf45c71-4a26	0	2
1125b90a-e513	441	3487
504d71f0-f605	221	2162
5e9de719-33f2	159	1552
c72df1d8-ed68	59759	804952
a70d3f3b-a406	59735	804811
06bcf11b-74d7	231	2456
5442e812-42dc	163	1647
6f5f38a6-d5f3	59735	804811
9a04f1d0-e816	536	4414
744eef78-3b6a	97	939
6c5f0fd6-9cd7	441	3487
6c1c2e64-20ba	881	8856
bc4bf59c-8a70	560	4554
8eec59ff-e348	59741	804858
78b1c5cc-7306	225	2186
eb513d88-ada0	591	4860
5595bb4c-2d4f	560	4555
7ce15bfb-6edf	59736	804818
c4244601-e2c3	59740	804848
cbd42848-d33c	221	2160
d2b8b26b-a4aa	95	932
7b6b4585-60be	59750	804922
c7a893d5-f619	630	5366
0aa471e0-41a5	30621	408828
3ae32418-757a	441	3487
8952ed4d-7b2c	59735	804810
567195eb-c66d	540	4514
ea02d4d6-747a	560	4555
354dc40b-4510	30427	406957
135e3ee9-034c	465	3634
5d3bd426-dabe	29967	403368
26db9313-ef68	97	939
878ac592-acd7	163	1650
110eb35e-edaf	169	1670
72eb6be7-bdce	593	4868
1e55a361-b309	59735	804811
d272e902-5caa	591	4859
2ef44de7-6570	59740	804841
686f95d1-9397	59748	804912
aed5a191-9b61	59735	804810
2afb3090-5a8e	715	6081
57d85465-7980	101	1038
5534dac4-e7e5	192	1868
6adac347-dfee	441	3487
c5a077cf-2ffb	95	932
9bfbdd97-ce80	161	1561
cd3dd883-5b9b	97	941
168b4e67-90af	591	4859
3c52b1bc-1fce	59735	804810
ec9a4825-3c84	0	2
91c107e2-1695	97	939
837853ea-4a22	30058	404280
f101a5fd-70d2	465	3628
d4e5b9c5-c8cf	59735	804810
20666b80-2410	595	4960
5daa813e-f03a	59735	804810
9d14df4f-0e79	626	5186
e34768c4-01ef	89646	1207575
181b6825-57d0	624	5175
48bdd0e8-b550	97	939
bea20453-9c2f	59736	804812
9275fb8d-0629	296	3079
11280bf2-f42f	59736	804815
f25516cb-5e1d	59735	804812
b994f52f-f2a8	159	1554
b0ba515b-6b40	562	4562
a5bac47b-2a61	0	2
5348f5b9-3416	99	1035
2dddb0cc-aac2	0	5
f541d6a7-2494	59738	804833
776e6634-b673	562	4565
7421845f-b152	59736	804819
c85e09ab-5ef9	59742	804876
24ce338f-550b	592	4866
d3c9882b-2639	569	4730
6dce4b13-fe27	59735	804811
48b76536-b4de	59735	804811
28032f0d-1c54	161	1563
329fd376-425e	0	2
50da6ee0-297d	161	1564
bd7ae73e-b2a8	59745	804886
2c596a67-f1ec	97	941
d73f54a9-d164	622	5164
2490a11e-152d	441	3501
26f0db08-4cd5	59735	804812
4045b089-30cd	95	931
a10f54c7-a0d1	59735	804810
b3cc2885-eade	569	4730
61e0d296-98ec	30458	407262
5ef70825-1134	560	4554
2dc4ad43-c239	59735	804810
c279ea17-75ff	59735	804811
43b527d6-9fe0	59738	804837
ff1fc673-1e11	59738	804833
7468811d-181a	630	5232
d734f787-42b3	29867	402414
67d33a9a-9cf8	441	3487
c723212d-ed86	441	3487
b5a45dde-d49a	59741	804857
33c866e4-8f21	59735	804810
f5e93cfa-5c8c	409	4011
7f82fb26-e0aa	592	4863
4986ff3c-283a	59736	804812
32bd00ac-1d2f	59738	804831
586fc3a5-f421	30458	407262
43688603-bada	602	5046
684e06e2-c752	626	5186
77c61ea9-cd23	560	4555
0f5120ad-6c87	254	2481
87a6e876-1cc0	157	1540
20e16ad3-c118	128	1242
41aa9546-831e	59735	804810
d6c2d6e2-da43	97	942
f5b0bc49-cab7	562	4566
4567dc38-0734	441	3487
1308a4d7-f109	0	5
26aa3cc8-acf8	0	2
cff23f85-d325	120148	1615193
319dc9fa-ddf8	189	1858
387c6d3a-eed6	159	1552
960bc80e-5655	59735	804811
0c5a83c4-8da1	562	4565
2edc3a45-d6dc	684	5776
70e89355-4901	95	931
96286aeb-f368	562	4565
12bb1100-293c	59735	804811
2d554615-8122	290	2969
f3aaaad6-ad6a	59735	804810
6d174fc0-8101	287	2797
82e62dc7-0edd	95	932
e80cef04-a687	59796	805419
