,Time(ns)Count,Time(ns)Sum,Time(ns)Max,Space(bytes)Count,Space(bytes)Sum,Space(bytes)Max,PotentialMethodCalls,PotentialInstructions,Instructions,MethodCalls,MethodFrequency,TimeReverseRank,SpaceReverseRank,ReverseRankTmp,ReverseRank
1116ebc3-e5be,155,23063057,4520251,155,5470800,791392,161,1567,16,9,0,64,60,124,61
ab76eb51-0d24,55,1787902,136771,55,125840,5424,8143,133506,17,13,10474,34,27,61,30
a8bf28c2-1e1a,187,1803516,129930,187,99272,832,161,1590,18,9,103,35,22,57,27
79899f83-eb2f,2932,14783832,112318,2932,10297456,4456,233,2290,17,12,444,56,68,124,60
92b6ca40-baca,20,1017457,120520,20,591768,34640,764,8160,39,26,0,23,38,61,29
85ae661c-d780,2957,51689940,532460,2957,9366216,154032,223,2175,16,10,0,74,67,141,72
59376a39-4e16,20,1950985,198186,20,4145168,251992,924,9649,45,31,0,37,59,96,47
c9a50e4d-b395,1233,23042554,446119,1233,2393632,13304,8101,133127,20,14,0,63,55,118,59
65e343f9-306a,1129,14336690,281723,1129,1644392,1784,288,2805,27,16,12,55,50,105,53
03db8b73-05e6,4,291336,130621,4,43264,11656,351,3420,23,13,0,9,14,23,10
b0363f34-dc79,1596,70305674,427289,1596,3336584,16776,225,2175,16,13,0,78,57,135,69
f1545a56-9699,48,1315725,94722,48,364288,11272,533,5234,37,23,79,28,34,62,31
bbb7be0c-46ce,43,410266,61385,43,18632,768,157,1545,16,8,0,12,9,21,8
839f1d4f-52fe,60,5103537,211106,60,6381080,132904,924,9649,45,31,0,45,62,107,56
f2757722-03a0,113,10158774,1139961,113,1105624,165296,3,39,18,5,0,53,46,99,50
30a0b0b1-c908,24,1159874,183093,24,9496,600,12,88,24,11,0,26,6,32,15
9d281ad2-b2ad,309,3847592,43696,309,334608,1392,9,79,16,8,89,42,33,75,37
6675920d-2706,22,761982,174553,22,45344,2384,357,3629,20,14,0,20,15,35,17
f2472589-f960,40,1328359,201775,40,63832,2008,294,2899,21,15,0,29,17,46,24
e611fdbd-7828,40,755136,113242,40,50200,1560,160,1591,26,9,0,19,16,35,16
3491db3b-15ab,2924,42339738,327967,2924,40820920,20576,444,4337,28,17,444,72,80,152,75
21b0291d-c80a,20,1205625,117796,20,1891720,115168,924,9649,45,31,0,27,51,78,38
f4051a6a-d1a7,42,1024357,133159,42,25632,968,8078,132867,17,11,0,24,11,35,18
3fcfee39-6799,2747,57556686,471445,2747,34217824,16056,286,2790,23,14,527,75,78,153,78
e6516b81-e321,20,266084,26206,20,95096,5656,478,4994,28,17,0,8,21,29,13
fd451116-b151,20,438834,50752,20,299832,16744,478,4994,28,17,0,13,31,44,22
b67ec00d-75f7,516,6366575,119282,516,380656,1096,157,1547,18,10,0,50,35,85,44
826fa921-464b,2647,274277332,5726445,2647,443316840,464000,225,2186,16,10,219,81,83,164,81
6e1cfb52-0507,60,965568,53383,60,607040,12952,478,4994,28,17,0,21,39,60,28
75f90c11-b4f9,204,13280163,466445,204,805568,5552,7937,131377,36,17,0,54,43,97,48
8e052ce3-1edd,233,17418811,15622510,233,7182976,6636592,227,2201,21,14,2,61,64,125,63
f8733676-1050,8,5659160,5131996,8,2346544,2323456,227,2239,16,9,0,48,54,102,51
9fa94dc2-ba71,2191,32010846,221626,2191,2728440,2592,219,2155,18,11,0,68,56,124,62
d0230bed-9634,3020,50931700,210769,3020,35633568,77976,15987,263991,20,12,0,73,79,152,76
587bdd2c-532b,1295,16168550,125777,1295,1256184,3208,91074,1495288,23,15,299,59,48,107,57
715b53f6-0179,1656,39630935,333517,1656,25217864,77976,161,1568,17,10,101,70,75,145,74
c89d7e93-f499,2,23440,13247,2,8048,4024,315,3079,16,14,0,1,5,6,2
b6026940-1a0f,2984,26327425,332332,2984,10516544,4760,326,3207,25,15,6,66,69,135,68
54c3d0ec-6c5e,60,3867662,117851,60,6400928,133336,1136,11827,54,39,0,43,63,106,54
88e4b77f-2237,185,6540715,1192894,185,1906056,16448,73,713,16,5,448,51,52,103,52
e3a6d92e-6332,33,1630411,130589,33,13168,624,9,75,18,8,0,32,7,39,19
bceb2f18-53ad,14,311731,123414,14,89064,7064,16263,266690,30,22,0,10,20,30,14
e7d7183a-f2df,4,29367,15439,4,19040,5592,254,2487,26,14,0,2,10,12,5
82439714-4d32,40,735795,51104,40,99808,4544,250,2471,30,19,0,18,23,41,21
d3121aa0-352b,3,124856,57144,3,1480,648,4,40,16,9,0,5,1,6,3
36480f8f-4282,92,1093816,79589,92,110984,1840,403,4209,22,19,0,25,24,49,25
b890dfa1-757d,138435,1431889635,1180701,138435,274034936,27088,280,2761,18,13,880,82,82,164,82
36372a99-7e46,235,2511896,74899,235,673472,3776,363,3790,22,15,70,39,41,80,39
2b8f3d24-10da,548,2378962,19882,548,180776,584,65659,1066769,20,15,0,38,30,68,34
eb486442-0bea,3,50498,35899,3,3496,1520,282,2770,22,14,0,3,2,5,1
8563b59f-d332,862,5842571,75176,862,420344,1656,160,1581,16,9,103,49,36,85,43
69dc31d5-cb01,4581,77484261,287463,4581,16287344,5624,287,2798,20,12,24,79,73,152,77
0d06ba3c-59fd,5,525911,155740,5,15520,5096,287,2787,16,14,0,14,8,22,9
b2b6a054-daa3,18,664749,88030,18,7728,656,4,40,16,9,0,16,4,20,7
d1e3d506-a0f8,20,989922,75741,20,1910088,115296,1136,11827,54,39,0,22,53,75,36
463a4008-e820,60,3360400,196240,60,1066360,22688,764,8160,39,26,0,41,45,86,45
e7f50aaa-f071,1651,39967576,555854,1651,6308272,7504,265,2601,16,11,0,71,61,132,66
1d3f6e3f-6bac,1626,23944283,278889,1626,15536840,18528,289,2805,16,11,0,65,72,137,70
b77763b1-6151,20,1840077,165094,20,4076184,252912,1136,11827,54,39,0,36,58,94,46
d3a2e9ff-29d4,58,5431220,248178,58,121328,15688,12,94,26,13,0,46,25,71,35
b8b7d8b7-67f8,256,9625745,136033,256,1229296,5144,7935,131389,49,14,0,52,47,99,49
a860e273-097e,15,131630,23624,15,87312,6264,16318,267186,31,23,0,6,19,25,12
8dd3bbdb-96f0,92,1660963,94903,92,173168,2536,188,1851,18,11,0,33,29,62,33
afd86579-40fd,80,1454540,63644,80,306344,7472,250,2468,27,14,0,30,32,62,32
dcd911ed-2f68,10968,83228940,202079,10968,30439544,26080,432,4186,26,17,545,80,76,156,80
f8ed7cce-c027,163,3045978,90578,163,778256,10592,259,2598,17,14,0,40,42,82,40
5f43596e-df2d,233,5482153,318834,233,535576,52928,8120,133284,17,12,2,47,37,84,42
7c41de0d-5e56,92,708535,37221,92,164600,2144,250,2457,16,11,0,17,28,45,23
c449cf76-466e,2660,16958533,124666,2660,1269800,1704,95,938,17,12,108,60,49,109,58
322d3f03-9ca5,431,18860737,740181,431,860688,2552,43719,634912,21,12,1,62,44,106,55
