,Time(ns)Count,Time(ns)Sum,Time(ns)Max,Space(bytes)Count,Space(bytes)Sum,Space(bytes)Max,PotentialMethodCalls,PotentialInstructions,Instructions,MethodCalls,MethodFrequency,TimeReverseRank,SpaceReverseRank,ReverseRankTmp,ReverseRank
42009f46-50f5,77794.5,199474452.3,3578438,77794.5,123275576,11808,317,2777,10,5,267589,163,168,331,168
afbbf6c5-234c,709,701058.5,28144,709,36264,120,196,1699,2,1,921,57,55,112,51
9842765e-8dbb,967,2573649.7,68892,967,57235.2,1272,10674,190202,2,1,1049,91,68,159,81
b49b2fd5-72ee,67.7,858660.1,62717,67.7,38873.6,688,319,2832,13,8,94,63,58,121,55
81ed6117-b5d5,1,1212.1,1680,1,288,288,323,2934,9,7,1,1,4,5,1
1c55b689-027f,50,417413.8,481139,50,32832,880,416,3855,18,11,451661,46,53,99,46
a5635c44-1f08,49.9,406174.9,194335,49.9,43307.2,15360,277,2404,11,6,97,45,61,106,48
9524122c-0d0d,7976,5726738.1,521766,7976,4904,2616,10677,190215,5,3,146084,105,27,132,62
7338bb0f-f006,4718.7,67218455.6,4312245,4718.7,18895720,4864,97,942,10,5,109238,156,150,306,155
76b5a1d5-9d4d,20.4,131126.6,407100,20.4,1507.2,128,196,1699,2,1,10523,31,14,45,20
89f3f10c-dc3d,10,133792.3,78080,10,3728,408,291,2626,8,6,11,32,22,54,27
15e4998e-36b6,8515.7,17438133.2,1507461,8515.7,126113.6,31536,552,5263,21,14,146702,125,80,205,104
a8f625a9-091f,3,35504.1,20751,3,48,48,196,1699,2,1,20,12,2,14,5
89178e6c-36e2,127983.2,21903882.9,66030,127983.2,26088138.4,1576,271,2325,10,5,785009,130,156,286,140
fc871b35-2f85,232.9,3343066.1,250941,232.9,140604.8,816,422,3874,20,13,350082,96,82,178,92
be8cff70-4e91,162.8,1748502,1250320,162.8,1374608.8,27560,170,1685,17,8,98281,82,120,202,101
137963c0-4dd5,1,6554.2,22348,1,864,864,293,2636,7,5,1,4,11,15,6
f49bfadc-d6ca,298.1,631678,44643,298.1,78869.6,1544,291,2626,8,6,526,53,74,127,59
0d5385fa-88d4,704,833174.1,950315,704,36344,136,196,1699,2,1,916,60,56,116,53
5ea32d1b-ec65,4008.5,660352.4,21811,4008.5,192475.2,160,0,3,3,1,98281,54,86,140,71
d984f22e-91d1,16,83919.1,21802,16,768,48,5370,95224,4,1,7,26,9,35,16
a2435b2f-ba23,1366.6,17841956.1,3887369,1366.6,1577643.2,2368,386,3471,15,10,1468,126,122,248,126
efdb1281-eecb,162.8,607928.4,59177,162.8,165274.4,1104,97,944,12,6,98281,52,84,136,69
8bf02acc-53e2,590.5,1248034.2,119981,590.5,335668,640,101,1011,12,7,1375,74,95,169,84
e333b016-92f4,12,8999.4,29721,12,784,152,448,4160,13,11,145,5,10,15,7
cce88dfb-0568,21,71732.5,19588,21,7040,400,291,2626,8,5,22,23,33,56,28
f1ce7861-9257,1,5829,18724,1,304,304,319,2867,10,5,1,2,5,7,2
87efccbe-afc0,14714.2,50691973.8,8312282,14714.2,12724392.8,1736,97,945,13,6,98243,149,142,291,147
fae6fe6b-488c,17218.4,82813017.1,8757889,17218.4,122410596.8,8501952,243,2414,16,12,76380,158,167,325,165
e956a7ba-9fba,61341.5,33828655.8,3200138,61341.5,31603067.2,664,295,2726,7,5,84913,137,157,294,148
5b809a0f-96ad,71184.1,90058324.5,3585547,71184.1,38728489.6,672,296,2732,11,7,482,159,160,319,163
86f51810-bd40,9995.5,35441615.7,6959734,9995.5,34462868,1049064,170,1684,16,8,98281,139,159,298,150
6773fd88-8d3c,1,6328.2,6985,1,360,360,323,2934,9,7,1,3,6,9,3
abc59dc4-4297,1,22251.6,24040,1,5632,5632,293,2636,7,5,1,8,29,37,18
06153b3f-f3f6,488.1,4026819.2,874351,488.1,103907.2,15064,177,1402,6,2,520,99,78,177,91
c03d503b-a61e,515.6,2716295.6,115720,515.6,267228.8,688,354,3244,15,9,1783807,93,90,183,94
04397fa1-033e,29999,50155665.6,1082525,29999,17788522.4,1224,521,4989,24,17,482,148,147,295,149
5947de1b-adfc,21,105096,32586,21,8992,480,315,2767,11,5,22,28,39,67,36
16555575-1ec3,129520.2,409343404.6,22215773,129520.2,230221655.2,58216,317,2777,10,5,479954,170,170,340,170
7ef9be5b-0458,17,186138.2,83235,17,8912,600,323,2934,10,7,18,36,38,74,38
0d20cd70-3f70,11,44519.6,17759,11,6624,704,278,2408,12,7,2,17,31,48,21
6324df0a-c714,162.8,535258.9,75171,162.8,152924.8,1120,97,945,13,5,98281,50,83,133,63
c783e0f1-7e69,7801.9,1723956.2,177138,7801.9,7328.8,928,196,1699,2,1,11383,79,35,114,52
3540a4f4-ee1d,28,68770.8,20661,28,8800,400,291,2626,8,5,19,22,37,59,32
4df8147c-95f3,2.777777777777778,10858.33333333333,10408,2.777777777777778,364.4444444444445,256,10674,190191,2,1,114,6,7,13,4
e4d8e0a0-2243,470989.9,160810866.6,1698196,470989.9,64894.4,28704,5441,95740,9,2,1755065,162,71,233,118
6d926772-d642,12,121587.8,36113,12,0,0,295,2728,9,6,10527,29,1,30,13
a5a53e0e-fbdd,333003.7,864706060,22776541,333003.7,133377280,442224,317,2777,10,5,1279100,171,169,340,171
90bfc70b-7e36,281564.7,42289438.7,109091,281564.7,13551594.4,329688,224,1880,5,1,998077,144,144,288,143
13ae4389-50a4,16770.6,34133602.3,1125709,16770.6,15669934.4,1984,97,944,12,5,55420,138,145,283,139
2f187de2-3c98,4197.6,47281968.9,453963,4197.6,61559632,31432,201,1990,18,9,98281,146,163,309,156
92414361-dd61,3130.9,485032.9,18490,3130.9,186038.4,356976,0,3,3,1,98281,49,85,134,66
6b7fc802-07ea,1141.1,703130.7,44452,1141.1,676729.6,704,277,2405,12,8,451661,58,106,164,83
3f29aef7-804c,1225.3,1726541.8,115509,1225.3,784624,832,339,3017,16,11,451661,80,115,195,99
6beec857-e12d,12,43474.3,16026,12,3904,392,322,2929,7,6,145,16,24,40,19
279eb8ab-268c,10,332709,344227,10,22752,15960,337,3036,12,7,1,43,46,89,43
1109039c-769e,488.1,1226232.3,41344,488.1,80784,1096,291,2626,8,6,526,72,75,147,78
b186354a-e827,530,576315.1,34683,530,28800,168,220,1840,5,1,1725,51,51,102,47
98d63ce9-c3e9,205,2402515.6,134701,205,15348.8,7072,291,2626,8,6,144,89,44,133,65
2522b7b9-cd0c,704,865558.8,1013162,704,35648,112,196,1699,2,1,916,64,54,118,54
6bf1f898-0e20,10226.2,25828322.2,4499664,10226.2,365584.8,24896,521,4960,22,13,146084,132,96,228,113
4af5810c-0819,352,963941.3,402778,352,57425.6,65960,196,1699,2,1,457,65,69,134,67
